mukey,areasymbol,musym,muname,compname,comppct_r,hydgrp,drainagecl,floodfreq,pondfreq,ksat_um_s,ksat_in_hr,awc,aashto,uscs,reskind,resdept_ft,wtdepannmin_ft,eng_roads,eng_shallow_excav,eng_dwellings,eng_sand_source
1606179,DE001,SlB,"Sassafras loam, 2 to 5 percent slopes",Sassafras,80,B,Well drained,None,0,28,3.9685,0.13,A-4,SC,,,,Somewhat limited,Very limited,Not limited,Fair
1606181,DE001,SacB,"Sassafras sandy loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
1606182,DE001,SacC,"Sassafras sandy loam, 5 to 10 percent slopes, Mid-Atlantic Coastal Plain",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
1606183,DE001,SSD,"Sassafras sandy loam, 10 to 15 percent slopes",Sassafras,75,B,Well drained,None,5,28,3.9685,0.13,A-4,CL-ML,,,,Somewhat limited,Very limited,Somewhat limited,Fair
1606186,DE001,TeA,"Tent silt loam, 0 to 2 percent slopes",Tent,50,C/D,Poorly drained,None,85,9,1.2756,0.21,A-6,CL,,,0.4,Very limited,Very limited,Very limited,Poor
1606188,DE001,UzC,"Udorthents, 0 to 10 percent slopes",Udorthents,90,A,Well drained,None,0,28,3.9685,0.13,A-2,SC-SM,,,3.7,Somewhat limited,Very limited,Not limited,Fair
1606190,DE001,UbB,"Udorthents, borrow area, 0 to 5 percent slopes",Udorthents,75,C,Moderately well drained,None,5,2.2,0.3118,0.16,A-6,CL,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606194,DE001,UlA,"Unicorn loam, 0 to 2 percent slopes",Unicorn,85,C,Well drained,None,0,5.64,0.7994,0.21,A-4,CL-ML,,,3.7,Somewhat limited,Very limited,Not limited,Fair
1606195,DE001,UlB,"Unicorn loam, 2 to 5 percent slopes",Unicorn,85,C,Well drained,None,0,5.64,0.7994,0.21,A-4,CL-ML,,,3.7,Somewhat limited,Very limited,Not limited,Fair
1606197,DE001,WhA,"Whitemarsh silt loam, 0 to 2 percent slopes",Whitemarsh,45,C/D,Poorly drained,None,85,9,1.2756,0.21,A-4,ML,,,0.4,Very limited,Very limited,Very limited,Poor
1606198,DE001,W,Water,Water,100,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
1606199,DE001,WddA,"Woodstown sandy loam, 0 to 2 percent slopes, Northern Tidewater Area",Woodstown,80,C,Moderately well drained,None,6,28,3.9685,0.13,A-2-4,SC-SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606201,DE001,WdcB,"Woodstown sandy loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Woodstown,80,C,Moderately well drained,None,6,28,3.9685,0.13,A-2-4,SC-SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606202,DE001,WocA,"Woodstown loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Woodstown,80,C,Moderately well drained,None,6,18,2.5512,0.13,A-4,SC,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606204,DE001,WocB,"Woodstown loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Woodstown,80,C,Moderately well drained,None,6,18,2.5512,0.13,A-4,SC,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606205,DE001,Za,"Zekiah sandy loam, frequently flooded",Zekiah,75,B/D,Poorly drained,Frequent,95,18,2.5512,0.13,A-4,ML,,,0.4,Very limited,Very limited,Very limited,Fair
1608682,DE001,NsB,"Nassawango silt loam, 2 to 5 percent slopes",Nassawango,80,C,Well drained,None,5,5.64,0.7994,0.22,A-4,ML,,,3.7,Very limited,Very limited,Not limited,Fair
1608683,DE001,ReA,"Reybold silt loam, 0 to 2 percent slopes",Reybold,75,B,Well drained,None,0,9.17,1.2997,0.2,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Fair
1608685,DE001,RdA,"Reybold-Queponco complex, 0 to 2 percent slopes",Reybold,45,B,Well drained,None,0,9.17,1.2997,0.2,A-4,CL-ML,,,3.7,Somewhat limited,Very limited,Not limited,Fair
1608848,DE001,Up,Urban land,Urban land,90,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
1608854,DE001,ReB,"Reybold silt loam, 2 to 5 percent slopes",Reybold,75,B,Well drained,None,0,9.17,1.2997,0.2,A-4,CL-ML,,,,Somewhat limited,Very limited,Not limited,Fair
1675902,DE005,RsA,"Runclint sand, 0 to 2 percent slopes",Runclint,75,A,Excessively drained,None,5,423,59.9526,0.07,A-3,SP-SM,,,3.7,Not limited,Very limited,Not limited,Fair
1675903,DE005,RsB,"Runclint sand, 2 to 5 percent slopes",Runclint,75,A,Excessively drained,None,5,423,59.9526,0.07,A-3,SP-SM,,,3.7,Not limited,Very limited,Not limited,Fair
1675904,DE005,RwA,"Runclint-Cedartown complex, 0 to 2 percent slopes",Runclint,45,A,Excessively drained,None,0,423,59.9526,0.07,A-3,SP-SM,,,3.7,Not limited,Very limited,Not limited,Fair
1675905,DE005,RwB,"Runclint-Cedartown complex, 2 to 5 percent slopes",Runclint,45,A,Excessively drained,None,0,423,59.9526,0.07,A-3,SP-SM,,,3.7,Not limited,Very limited,Not limited,Fair
1697670,DE003,M-W,Miscellaneous water,Miscellaneous water,100,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
1697823,DE003,W,Water,Water,100,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
1727157,DE001,UfF,"Udorthents, refuse substratum, 5 to 35 percent slopes",Udorthents,85,C,Well drained,None,0,28,3.9685,0.13,A-4,SM,Strongly contrasting textural stratification,2.5,3.7,Very limited,Very limited,Very limited,Poor
2479764,DE003,UbB,"Udorthents, borrow area, 0 to 5 percent slopes",Udorthents,75,C,Moderately well drained,None,5,2.2,0.3118,0.16,A-6,CL,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2479765,DE003,UsB,"Udorthents, refuse substratum, 0 to 5 percent slopes",Udorthents,85,C,Well drained,None,0,28,3.9685,0.13,A-4,SC-SM,Strongly contrasting textural stratification,2.5,3.7,Very limited,Somewhat limited,Very limited,Poor
2479769,DE003,Za,"Zekiah sandy loam, frequently flooded",Zekiah,75,B/D,Poorly drained,Frequent,95,18,2.5512,0.13,A-4,ML,,,0.4,Very limited,Very limited,Very limited,Fair
2479772,DE003,HoA,"Hammonton-Fallsington-Mullica complex, 0 to 2 percent slopes",Hammonton,40,B,Moderately well drained,None,55,28,3.9685,0.13,A-2-4,SM,,,0.4,Somewhat limited,Very limited,Very limited,Fair
2479773,DE003,ImB,"Ingleside-Hammonton-Fallsington complex, 0 to 5 percent slopes",Ingleside,35,A,Well drained,None,25,28,3.9685,0.13,A-2-4,SM,,,1.2,Somewhat limited,Very limited,Not limited,Fair
2479774,DE003,LfA,"Leipsic-Reybold complex, 0 to 2 percent slopes",Leipsic,45,C,Moderately well drained,None,0,9,1.2756,0.21,A-4,ML,,,2.0,Very limited,Very limited,Somewhat limited,Poor
2479775,DE003,LfB,"Leipsic-Reybold complex, 2 to 5 percent slopes",Leipsic,45,C,Moderately well drained,None,0,9,1.2756,0.21,A-4,ML,,,2.0,Very limited,Very limited,Somewhat limited,Poor
2479776,DE003,VoB,"Urban land-Othello complex, 0 to 5 percent slopes",Urban land,60,,,None,30,,,,,,,,1.2,Not rated,Not rated,Not rated,Not rated
2479777,DE003,UwA,"Udorthents, wet substratum, 0 to 2 percent slopes",Udorthents,85,C,Moderately well drained,None,0,2.2,0.3118,0.17,A-2,ML,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2479778,DE003,UzF,"Udorthents, 10 to 30 percent slopes",Udorthents,85,A,Well drained,None,0,28,3.9685,0.13,A-2,SC-SM,,,3.7,Very limited,Very limited,Very limited,Fair
2479779,DE003,UzC,"Udorthents, 0 to 10 percent slopes",Udorthents,90,A,Well drained,None,0,28,3.9685,0.13,A-2,SC-SM,,,3.7,Somewhat limited,Very limited,Not limited,Fair
2479780,DE003,Up,Urban land,Urban land,90,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
2479781,DE003,DoA,"Downer sandy loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
2479782,DE003,DoaB,"Downer sandy loam, 2 to 5 percent slopes, Northern Coastal Plain",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
